,nome,porcentagem_desconto,preco,tipo
0,darkest dungeon ancestral edition,0,94.99,pacote
1,darkest dungeon,0,45.99,padrao
2,resident evil 2  biohazard re2  deluxe edition,0,109.99,padrao
3,mad max,94,4.5,padrao
4,enter the gungeon,0,27.99,padrao
5,resident evil 7 biohazard gold edition,0,87.08,padrao
6,lego harry potter years 1 4,0,89.99,padrao
7,sid meiers civilization v the complete edition,0,99.99,padrao
8,resident evil 3,0,129.99,padrao
9,resident evil hd remaster,0,39.99,padrao
10,lego marvel super heroes,94,4.5,padrao
11,gris,0,32.99,padrao
12,resident evil 2  biohazard re2,0,89.99,padrao
13,f.e.a.r. 3,94,4.5,padrao
14,dayz,50,59.99,padrao
15,middleearth shadow of mordor  game of the year edition,94,4.5,padrao
16,secret neighbor,75,9.49,padrao
17,euro truck simulator 2,0,39.99,padrao
18,the lego ninjago movie video game,94,4.5,padrao
19,dragon ball z kakarot  deluxe edition,0,249.9,padrao
20,lego jurassic world,90,8.99,padrao
21,monster hunter world iceborne master edition,0,129.99,padrao
22,subnautica below zero,40,34.79,padrao
23,rollercoaster tycoon 3 complete edition,0,37.99,padrao
24,euro truck simulator 2  special transport,0,12.19,dlc
25,xbox  cartao presente digital 70 reais,0,70.0,padrao
26,lego star wars the force awakens,94,4.5,padrao
27,far cry 6,0,249.99,padrao
28,batman arkham knight,85,13.49,padrao
29,batman arkham origins,80,17.99,padrao
30,euro truck simulator 2  heavy cargo pack,0,12.49,dlc
31,mega man x legacy collection 2,0,39.99,padrao
32,euro truck simulator 2  going east!,0,24.99,dlc
33,little nightmares,75,19.99,padrao
34,naruto shippuden ultimate ninja storm 4  season pass,0,49.9,dlc
35,enigma do medo  bundle do medo,12,105.0,prevenda
36,euro truck simulator 2  scandinavia,0,44.99,dlc
37,enslaved odyssey to the west premium edition,0,34.99,padrao
38,the last campfire,0,28.99,padrao
39,ni no kuni ii revenant kingdom  season pass,0,59.9,dlc
40,star wars  the force unleashed ultimate sith edition,0,37.99,padrao
41,assassins creed valhalla,0,199.99,padrao
42,mortal kombat 11 kombat pack 2,75,14.99,dlc
43,castlevania lords of shadow 2  revelations,0,15.99,dlc
44,naruto shippuden ultimate ninja storm legacy,0,217.99,padrao
45,shovel knight pocket dungeon,0,37.99,padrao
46,lego batman 3 beyond gotham  premium edition,94,8.0,padrao
47,titan souls,0,24.99,padrao
48,nba 2k23,0,299.9,padrao
49,the lego movie  videogame,94,4.5,padrao
50,euro truck simulator 2  road to the black sea,0,44.99,dlc
51,dragon ball fighterz  fighterz edition,0,239.9,padrao
52,lego batman 3 beyond gotham,94,4.5,padrao
53,metal gear rising  revengeance,0,49.99,padrao
54,resident evil 4,8,228.99,padrao
55,mortal kombat xl,90,12.99,pacote
56,pro cycling manager 2022,0,75.49,padrao
57,soulcalibur vi  deluxe edition,0,259.9,padrao
58,castlevania lords of shadow 2,0,72.99,padrao
59,castlevania lord of shadows  mirror of fate hd,0,27.99,padrao
60,warhammer chaosbane  slayer edition,0,75.49,padrao
61,sid meiers civilization vi  platinum edition,0,161.2,padrao
62,hogwarts legacy,0,249.99,padrao
63,moonlighter  between dimensions,80,2.89,dlc
64,ace combat 7 skies unknown  top gun maverick edition,0,219.9,padrao
65,devil may cry 5 + vergil,0,89.99,padrao
